TTema,Nr,Namnetype,Merknad,Nynorsk,Bokmål,Kvensk,Finsk,Engelsk,Prioritet
2900,1,Berg,Mindre fjell,Berg,Berg,Jyppyrä,kukkula,Small mountain,75
2900,2,Fjell,Stort fjell,Fjell,Fjell,Vaara,vuori,Mountain,70
2900,3,Fjellområde,"Stort fjellområde: Rondane, Saltfjellet, Lyseheiane Se også SOSI kapitel: 
Landskap",Fjellområde,Fjellområde,Tunturiala,vuoristo,Mountain area,50
2900,4,Hei,"Berglendt, høyere beliggende område med beitemark",Hei,Hei,Marasto,ylämaa,Heath,50
2900,5,Høyde,Mindre terrengform som ikke vurderes som fjell,Høgd,Høyde,Kumpu,ylänkö,Height,90
2900,6,Ås,"Langstrakt, vanligvis skogkledt høydedrag.",Ås,Ås,Harju,mäki,Hill,80
2900,7,Rygg,Langstrakt terrengform,Rygg,Rygg,Vaaransölkä,harja,Ridge,90
2900,8,Haug,Liten markant terrengform,Haug,Haug,Tieva,pieni kukkula,Small hill,90
2900,9,Bakke,Skråning,Bakke,Bakke,Luokka,mäki,Slope,90
2900,10,Li,Vanligvis skogkledt skrånende terreng,Li,Li,Rinnet,vuorenrinne,Hillside,90
2900,11,Stup,"Loddrett eller svært bratt, fallende terreng",Stup,Stup,Henkopahta,jyrkänne,Cliff,90
2900,12,Vidde,"Høyere liggende større område uten skog med lave terrengvariasjoner 
innenfor området. F.eks. Valdresflyi Se også SOSI kapitel: Landskap",Vidde,Vidde,Tunturi,ylätasanko,Mountain plateau,50
2900,13,Slette,"Åpent, flatt, ikke skogbevokst område",Slette,Slette,Aukkee,tasanko,Plains,90
2900,14,Mo,"Flatt område, vanligvis skogkledt",Mo,Mo,Kangas,nummi,Moor,90
2900,15,Dalføre,"Stor dal: Gudbrandsdalen, Namdalen, Setesdal, Valdres Se også 
SOSI-kapittel: Landskap",Dalføre,Dalføre,Vankka / Vuoma,suuri laakso,Long valley,50
2900,16,Dal,Mellomstor eller liten dal,Dal,Dal,Kuru,laakso,Valley,70
2900,17,Botn,Dalende,Botn,Botn,Vuomanpohja,laaksonpohja,Cirque,90
2900,18,Skar,Markant senkning i fjell,Skar,Skar,Autsi,sola,Pass,80
2900,19,Juv,"Kløftlignende dal, canyon",Juv,Juv,Korsa,kanjoni,Gorge,80
2900,20,Søkk,"Mindre markant, begrenset fordypning",Søkk,Søkk,Kuppa,ontto,Hollow,90
2900,21,Stein,F.eks. flyttstein i fjellet,Stein,Stein,Kivi,"kivi, järkäle",Stone,90
2900,22,Heller,"Steinhule, steinsatt overnattingssted",Heller,Heller,Pahtaloma,kiviluola,Rock shelter,90
2900,211,Topp (fjelltopp/tind),Øverste fjelltopp,Fjelltopp,Fjelltopp,Vaaranlaki,vuorenhuippu,Mountain peak,70
2900,212,Hylle (hjell),Flatt område i fjellside,Hylle (hjell),Hylle (hjell),Lohta,vuorenseinämä,Mountain shelf,90
2900,213,Terrengdetalj,"Alle typer små naturdetaljer. f.eks. sprekker, hulveier, sand- / stein- / 
grusflater, etc. Innsjøer og landskap",Annan terrengdetalj,Annen terrengdetalj,Muita detaljiita maisemassa,muu maastoominaisuus,Terrain detail,90
